Items;Expressivity;Amotivation;Cognition
;;;
SANS_AFFECTIVE_FLATTENING;0.85;0.14;-0.15
;;;
SANS_ALOGIA;0.74;-0.11;0.2
;;;
SANS_AVOLITION;0.11;0.65;-0.11
;;;
SANS_ANHEDONIA;-0.03;0.88;0.04
;;;
SANS_ATTENTION;0.17;0.21;0.61
;;;
PANSS_BLUNTED_AFFECT;0.88;0.06;-0.06
;;;
PANSS_EMOTIONAL_WITHDRAWAL;0.12;0.81;-0.04
;;;
PANSS_POOR_RAPPORT;0.64;0.1;0.12
;;;
PANSS_WITHDRAWAL;-0.07;0.9;0.08
;;;
PANSS_ABSTRACT_THINKING;-0.03;-0.01;0.89
;;;
PANSS_SPONTANEITY;0.86;-0.12;0.06
;;;
PANSS_STEREOTYPED_THINKING;0.36;0.17;0.29
